"id","title","longitude","latitude","city","area","room_type","floor","size","oriented","price","unit_price","decoration","Fangtianxia_data_source","age","elevator"
"29","白广路东里二室一厅一卫","116.36619567871093750000","39.88761520385742187500","北京","西城","2室1厅1卫","高层楼层（共4层）","66.02平米","南北","5800000","87852元/平米","简装修","3","1958年","无"
"30","44平80万小房子 北京市大产权 商品房 交通便利","115.96813201904296875000","39.76480102539062500000","北京","房山","2室1厅1卫","高层楼层（共4层）","44.03平米","南","800000","18169元/平米","中装修","3","1972年","无"
"31","中堂阅园南北通透三居 户型方正 舒服 房子位置好","116.28513336181640625000","39.88846969604492187500","北京","丰台","3室2厅2卫","中层楼层（共18层）","152.13平米","南北","10500000","69020元/平米","简装修","3","2004年","有"
"32","燕西华府 总价399万左右 直上","116.11659240722656250000","39.80366134643554687500","北京","丰台","2室1厅1卫","低层地上层数（共6层）","75平米","暂无","3990000","53200元/平米","豪华装修","3","2018年","无"
"33","泰禾大院系+泰禾金府大院+公益西桥+南北三居+双南卧三卫","116.37258148193359375000","39.81141281127929687500","北京","丰台","4室2厅3卫","中层楼层（共16层）","175平米","南北","14200000","81143元/平米","豪华装修","3","2016年","有"
"34","车公庄北里两居通透格局好带正规客厅年代新","116.35391235351562500000","39.94069671630859375000","北京","西城","2室1厅1卫","高层楼层（共7层）","62.6平米","东西","6260000","100000元/平米","精装修","3","1996年","无"
"35","新出大三居，可改四居，一手样板间，社区位置，地暖，随时看","116.48039245605468750000","39.96183776855468750000","北京","朝阳","4室2厅3卫","低层楼层（共6层）","270平米","南","34600000","128148元/平米","精装修","3","2006年","有"
"36","去年刚装修完 南北通透 普通住宅 次顶层 满五年","116.52170562744140625000","39.94005966186523437500","北京","朝阳","3室2厅2卫","高层楼层（共31层）","136.11平米","南北","9000000","66123元/平米","豪华装修","3","2006年","有"
"37","一期中楼层三居 户型方正带书房 二次装修保养好 水暖已封阳台","116.52729797363281250000","39.93369674682617187500","北京","朝阳","3室2厅3卫","中层楼层（共17层）","309平米","南北","26980000","87314元/平米","豪华装修","3","2007年","有"
"38","陶然亭四平园一居居室 采光好 楼层好 320万","116.38620758056640625000","39.88824844360351562500","北京","西城","1室1厅1卫","中层楼层（共6层）","48平米","西","4600000","95833元/平米","精装修","3","1996年","无"
"39","荞馨园 精装南北三居 精装修 拎包入住","116.69966125488281250000","39.90348434448242187500","北京","通州","3室1厅1卫","中层楼层（共6层）","102平米","南北","4490000","44020元/平米","简装修","3","2004年","无"
"40","大厂潮白河 叠拼别墅 无浪费面积 电梯入户","116.84515380859375000000","39.87694931030273437500","北京","北京周边","4室2厅4卫","低层地上层数（共3层）","200平米","南","5000000","25000元/平米","精装修","3","2010年","无"
"41","电梯两居楼视野好 小区中间位置 满五年一套","116.43490600585937500000","40.07970046997070312500","北京","昌平","2室1厅1卫","高层楼层（共20层）","102.27平米","东北","3880000","37939元/平米","精装修","3","2008年","无"
"42","在线+广渠门+东南大两居+可改三居+满五年+免个税+文汇+婚房设计","116.45144653320312500000","39.90399551391601562500","北京","东城","2室1厅1卫","低层楼层（共25层）","109.74平米","东南","9870000","89940元/平米","简装修","3","2003年","有"
"43","二环里！南北通透不临街+户型方正随时看+交通便利+新商圈","116.42370605468750000000","39.90090560913085937500","北京","东城","2室2厅1卫","中层楼层（共7层）","132.43平米","南北","18000000","135921元/平米","精装修","3","2004年","有"
"44","新出 西四环 西山美墅馆 3居改2居室 一层带南北花园 三面采光","116.24980926513671875000","39.96479415893554687500","北京","海淀","2室2厅2卫","低层楼层（共4层）","174.43平米","南北","15500000","88861元/平米","精装修","3","2008年","有"
"45","拥金1.2海淀区西三环莲花桥七学旁边 南北三居好房","116.31039428710937500000","39.90250015258789062500","北京","海淀","3室2厅2卫","低层楼层（共26层）","138平米","南北","8200000","59420元/平米","精装修","3","2000年","有"
"46","德胜门 北京出版社电梯公房、单位物业管理，单独小院","116.39589691162109375000","39.97302627563476562500","北京","西城","2室1厅1卫","高层楼层（共17层）","58平米","西北","7250000","125000元/平米","精装修","3","1986年","无"
"47","橡树湾二期 南北通透三层大复式 看房便利 装修好 一梯两户","116.33922576904296875000","40.03812789916992187500","北京","海淀","4室3厅3卫","高层楼层（共6层）","187平米","南北","22300000","119251元/平米","中装修","3","2013年","无"
"48","华清嘉园双卧室朝南中间楼层","116.34284973144531250000","39.99689102172851562500","北京","海淀","2室2厅1卫","中层楼层（共20层）","86.92平米","东南","10950000","125978元/平米","精装修","3","2002年","无"
"49","新康家园，两居改三居，采光好，视野好格局方正，提包入住","116.49461364746093750000","39.80457687377929687500","北京","大兴","2室1厅1卫","高层楼层（共7层）","112.68平米","东北","5100000","45261元/平米","精装修","3","2002年","无"
"50","满两年 低税 送观景露台 2边户 送双车位","116.42770385742187500000","40.15511703491210937500","北京","昌平","5室3厅4卫","低层地上层数（共1层）","376平米","南","14000000","37234元/平米","毛坯","3","2012年","无"
"51","方庄蒲黄榆 芳古园一区 高楼层 视野好 没有税","116.43259429931640625000","39.87307357788085937500","北京","丰台","1室1厅1卫","高层楼层（共14层）","43.4平米","东南","2800000","64516元/平米","精装修","3","1996年","无"
"52","南北通透、采光好、餐客分离、人车分流、交通便利、临万城华府、","116.30529785156250000000","39.97789001464843750000","北京","海淀","4室2厅2卫","中层楼层（共6层）","218.8平米","南北","30500000","139397元/平米","精装修","3","2003年","无"
"53","丰侨  南北四居室 高楼层 精装修 看房随时","116.37293243408203125000","39.92320251464843750000","北京","西城","4室2厅3卫","高层楼层（共25层）","248平米","南北","43900000","177016元/平米","简装修","3","2007年","有"
"54","房源,有钥匙,有房本,房价,潮白河孔雀城紫藤园懂的来","116.85471343994140625000","39.88779067993164062500","北京","北京周边","2室2厅1卫","中层楼层（共34层）","83.1平米","南北","1250000","15042元/平米","毛坯","3","2014年","无"
"55","孔雀城法式庄园洋房，200亩海德儿童公园，让孩子享受自然","116.31815338134765625000","39.46323776245117187500","北京","北京周边","3室2厅1卫","中层楼层（共11层）","95平米","南北","1420000","14947元/平米","毛坯","3","2018年","有"
"56","观唐中式合院+南花园400平米+低于同户型500万+看房方便","116.51368713378906250000","40.03610610961914062500","北京","朝阳","6室3厅7卫","低层地上层数（共3层）","400平米","南","26000000","65000元/平米","精装修","3","2004年","无"
"57","二层+可大谈+16年装修南向双阳台、落地窗+可改双卫","116.27526855468750000000","40.02959060668945312500","北京","海淀","3室2厅1卫","低层楼层（共6层）","117.57平米","南北","9000000","76550元/平米","精装修","3","2005年","有"
"58","紫玉山庄三期 临湖观景联排别墅 带车库带花园直观湖面看房方便","116.42045593261718750000","40.01639556884765625000","北京","朝阳","4室2厅5卫","低层楼层（共3层）","280.34平米","南北","29200000","104159元/平米","精装修","3","2005年","有"
"59","东方普罗旺斯：邻水独栋，罕见户型，仅一套，随时看房！","116.45758056640625000000","40.12512969970703125000","北京","昌平","4室2厅3卫","低层地上层数（共2层）","530平米","南","25000000","47170元/平米","豪华装修","3","2013年","无"
"60","▲总价不高首付140万装修好通州新城2居北关6号线天赐良园","116.64556121826171875000","39.93159866333007812500","北京","通州","2室1厅1卫","低层楼层（共6层）","70.7平米","东西","3350000","47383元/平米","精装修","3","2003年","有"
"61","东城区工体3号一居室480万","116.44969940185546875000","39.93502807617187500000","北京","朝阳","1室1厅2卫","高层楼层（共17层）","70.74平米","西","4800000","67854元/平米","精装修","3","2005年","无"
"62","西城区 红莲北里 全南两居室 没有遮挡 公园公房","116.34126281738281250000","39.89193344116210937500","北京","西城","2室1厅1卫","高层楼层（共6层）","54.46平米","南","5050000","92729元/平米","精装修","3","1986年","无"
"63","451 150平美式独栋 四重庭院 原值高，税金少，随时看房！","116.42005920410156250000","40.14652252197265625000","北京","昌平","5室3厅4卫","低层地上层数（共2层）","450平米","南","17000000","37778元/平米","毛坯","3","2006年","无"
"64","金地格林小镇 南北通透 108平两居 买房就送大露台 看房随时","116.50566864013671875000","39.79933547973632812500","北京","大兴","2室2厅1卫","高层楼层（共5层）","108平米","南北","7500000","69444元/平米","精装修","3","2004年","无"
"65","龙湖大方居东西通透两居室满五年精装修","116.64077758789062500000","39.88003921508789062500","北京","通州","2室1厅1卫","低层楼层（共21层）","87.87平米","东西","3200000","36417元/平米","中装修","3","1999年","无"
"66","翡翠山 联排别墅 双排别墅 样板间开发 看房提前联系","116.17253875732421875000","39.80402755737304687500","北京","丰台","5室5厅6卫","低层地上层数（共3层）","270平米","暂无","16000000","59259元/平米","简装修","3","2015年","无"
"67","副，中，心，唯，一，墅温泉入户，九间堂叠拼，联排现房","116.68209075927734375000","39.92631149291992187500","北京","通州","6室4厅5卫","高层地上层数（共5层）","280平米","暂无","23000000","82143元/平米","毛坯","3","2017年","无"
"68","呼家楼 观湖大两居室","116.46894836425781250000","39.93012237548828125000","北京","朝阳","2室2厅2卫","中层楼层（共30层）","119.26平米","东南","6290000","52742元/平米","中装修","3","2004年","无"
"69","送30平花园 玉泉新城 南北3居 不临街 近","116.25541687011718750000","39.92546081542968750000","北京","海淀","3室2厅2卫","低层楼层（共11层）","98.02平米","南北","13000000","132626元/平米","精装修","3","2007年","无"
"70","玉泉路正规三居室 校园环境 通透性好 房","116.25805664062500000000","39.91418457031250000000","北京","海淀","3室1厅1卫","高层楼层（共6层）","85平米","东西","4750000","55882元/平米","精装修","3","1995年","无"
"71","朝阳门 日坛 西向两居室  物业费3.5","116.44937133789062500000","39.92591476440429687500","北京","朝阳","2室1厅1卫","低层楼层（共20层）","91.75平米","西","6400000","69755元/平米","精装修","3","2009年","有"
"72","九龙山+金港国际+南北通透+满5年+无其他住房+低密社区+","116.48720550537109375000","39.90327453613281250000","北京","朝阳","4室2厅2卫","中层楼层（共8层）","151.75平米","南北","14000000","92257元/平米","豪华装修","3","2008年","有"
"73","三环边+九龙山站旁+南北4居+全新装修直接入住+温泉入户+低稅费","116.48307037353515625000","39.90090560913085937500","北京","朝阳","4室2厅3卫","低层楼层（共14层）","204.54平米","南北","19500000","95336元/平米","精装修","3","2009年","无"
"74","首创爱这城二期 南北通透三居室 户型方正 连体阳台 装修保持好","116.51428222656250000000","39.91961288452148437500","北京","朝阳","3室2厅2卫","中层楼层（共21层）","161.92平米","南北","13200000","81522元/平米","精装修","3","2008年","无"
"75","70年大产权 小户型大功能 首付120万 租金小6000","116.49953460693359375000","39.90494918823242187500","北京","朝阳","1室1厅1卫","高层楼层（共25层）","41平米","东北","2800000","68293元/平米","精装修","3","2008年","有"
"76","首付130万+06年商品房+人车分流+环境安静+双井站","116.47190856933593750000","39.90015411376953125000","北京","朝阳","1室1厅1卫","高层楼层（共12层）","35平米","北","3350000","95714元/平米","精装修","3","2005年","有"
"77","万通南北通透 3卧2卫 随时看房 挥泪卖 随时过户","116.56893920898437500000","40.06448745727539062500","北京","顺义","3室1厅2卫","低层楼层（共14层）","155平米","南北","6930000","44710元/平米","精装修","3","2010年","有"
"78","长阳 中高楼层 随时看房 南北通透 全明格局","116.16450500488281250000","39.76838684082031250000","北京","房山","2室1厅1卫","中层楼层（共11层）","88.5平米","南北","3500000","39548元/平米","简装修","3","2011年","无"
"79","绿地新都会三室二厅二卫","116.17106628417968750000","39.76028060913085937500","北京","房山","5室2厅1卫","低层楼层（共16层）","132平米","南北","5290000","40076元/平米","中装修","3","2013年","无"
"80","毛坯新房 本人实地拍摄 真实的 毛坯房 使用面积大","116.48313140869140625000","39.79317855834960937500","北京","大兴","5室2厅3卫","低层地上层数（共3层）","285平米","南","17100000","60000元/平米","毛坯","3","2012年","无"
